X,Y,OBJECTID,Facility_ID,Facility_Name,Facility_Type_Code,Facility_Type,Map_Symbol,Facility_Type_Detail,Facility_Type_Abbreviation,Licensed_Beds_Total,Telephone,County,Address_Full,latitude,longitude,CDPHE_HFEMS_Licensed,Operating_Status,Date_Data_Updated,Source
-102.355675,38.825634,2593,010232,KEEFE MEMORIAL HOSPITAL,014,Hospital,Hospital,Critical Access Hospital,HOSP-CAH,25,719-767-5661,CHEYENNE,"602 N 6TH ST W, CHEYENNE WELLS, CO 80810",38.825634,-102.355675,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-104.973557,39.670654,2623,0104MJ,KINDRED HOSPITAL - DENVER SOUTH,015,Hospital,Hospital,Long Term Hospital,HOSP-LT,28,303-715-7373,DENVER,"2525 S DOWNING ST 3RD FLOOR, DENVER, CO 80210",39.670654,-104.973557,yes,PENDING (CLOSING OR OPENING),2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-104.828247,39.727409,2624,0104HY,KINDRED HOSPITAL AURORA,015,Hospital,Hospital,Long Term Hospital,HOSP-LT,37,720-857-8333,ARAPAHOE,"700 POTOMAC ST FL 2, AURORA, CO 80011",39.727409,-104.828247,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-104.964645,39.7463,2625,010420,KINDRED HOSPITAL-DENVER,015,Hospital,Hospital,Long Term Hospital,HOSP-LT,81,303-320-5871,DENVER,"1920 N HIGH ST, DENVER, CO 80218-1213",39.7463,-104.964645,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-102.270638,39.302715,2635,010167,KIT CARSON COUNTY MEMORIAL HOSPITAL,014,Hospital,Hospital,Critical Access Hospital,HOSP-CAH,19,719-346-4824,KIT CARSON,"286 16TH ST, BURLINGTON, CO 80807",39.302715,-102.270638,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-104.626991,38.282646,2652,180616,LA VISTA CORRECTIONAL FACILITY,S63,Community Clinic,Clinic,Community Clinic-DOC,CCDOC,0,719-583-5831,PUEBLO,"1401 WEST 17TH STREET, PUEBLO, CO 81003",38.282646,-104.626991,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-103.695671,39.21553,2760,180102,LIMON CORRECTIONAL FACILITY,S63,Community Clinic,Clinic,Community Clinic-DOC,CCDOC,0,719-775-9221,LINCOLN,"49030 STATE HWY 71 S, LIMON, CO 80826",39.21553,-103.695671,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-103.474068,39.138016,2764,010150,LINCOLN HEALTH HOSPITAL,014,Hospital,Hospital,Critical Access Hospital,HOSP-CAH,15,719-743-2421,LINCOLN,"111 6TH STREET, HUGO, CO 80821",39.138016,-103.474068,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-105.126442,40.181377,2794,010350,LONGMONT UNITED HOSPITAL,011,Hospital,Hospital,Short Term Hospital,HOSP-ACU,186,303-651-5111,BOULDER,"1950 MOUNTAIN VIEW AVE, LONGMONT, CO 80501-3129",40.181377,-105.126442,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-105.121162,40.149097,2795,01T314,LONGS PEAK HOSPITAL,011,Hospital,Hospital,Short Term Hospital,HOSP-ACU,83,720-718-3005,BOULDER,"1750 E KEN PRATT BLVD, LONGMONT, CO 80504-5311",40.149097,-105.121162,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-105.089363,39.769272,2824,010440,LUTHERAN MEDICAL CENTER,011,Hospital,Hospital,Short Term Hospital,HOSP-ACU,338,303-425-4500,JEFFERSON,"8300 W 38TH AVE, WHEAT RIDGE, CO 80033-6005",39.769272,-105.089363,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-104.831223,39.689274,2908,010414,"MEDICAL CENTER OF AURORA, THE",011,Hospital,Hospital,Short Term Hospital,HOSP-ACU,281,303-873-5511,ARAPAHOE,"1501 S POTOMAC ST, AURORA, CO 80012",39.689274,-104.831223,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-105.00145,40.415115,2909,01D460,MEDICAL CENTER OF THE ROCKIES,011,Hospital,Hospital,Short Term Hospital,HOSP-ACU,180,970-624-2500,LARIMER,"2500 ROCKY MOUNTAIN AVE, LOVELAND, CO 80538-9004",40.415115,-105.00145,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-102.29023,40.578484,2921,010120,MELISSA MEMORIAL HOSPITAL,014,Hospital,Hospital,Critical Access Hospital,HOSP-CAH,15,970-854-2241,PHILLIPS,"1001 E JOHNSON ST, HOLYOKE, CO 80734",40.578484,-102.29023,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-107.578705,40.518353,2926,010807,"MEMORIAL HOSPITAL, THE",014,Hospital,Hospital,Critical Access Hospital,HOSP-CAH,25,970-824-9411,MOFFAT,"750 HOSPITAL LOOP, CRAIG, CO 81625-8750",40.518353,-107.578705,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-107.824814,37.235138,2934,011213,MERCY HOSPITAL,011,Hospital,Hospital,Short Term Hospital,HOSP-ACU,82,970-247-4311,LA PLATA,"1010 THREE SPRINGS BLVD, DURANGO, CO 81301-8296",37.235138,-107.824814,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-106.391174,40.057365,2959,010804,MIDDLE PARK MEDICAL CENTER,014,Hospital,Hospital,Critical Access Hospital,HOSP-CAH,18,970-724-3442,GRAND,"214 S 4TH ST, KREMMLING, CO 80459",40.057365,-106.391174,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-105.925252,40.075831,2963,01J169,"MIDDLE PARK MEDICAL CENTER, GRANBY",01B,Hospital,Hospital,Licensed Only General Hospital,LICGEN,7,970-724-3121,GRAND,"1000 GRANBY PARK DR S, GRANBY, CO 80446",40.075831,-105.925252,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-107.869812,38.480095,3016,011165,MONTROSE REGIONAL HEALTH,011,Hospital,Hospital,Short Term Hospital,HOSP-ACU,75,970-249-2211,MONTROSE,"800 S 3RD ST, MONTROSE, CO 81401-4212",38.480095,-107.869812,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-104.841492,39.583836,3042,18U754,"MOSAIC INFUSION SOLUTIONS, LLC",S65,Community Clinic,Clinic,Community Clinic-Voluntary,CCVOL,0,720-456-3989,ARAPAHOE,"7307 SOUTH REVERE PARKWAY, SUITE 201, CENTENNIAL, CO 80112",39.583836,-104.841492,no,PENDING (CLOSING OR OPENING),2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-104.48851,37.173016,3076,010704,MT SAN RAFAEL HOSPITAL,014,Hospital,Hospital,Critical Access Hospital,HOSP-CAH,25,719-846-9213,LAS ANIMAS,"410 BENEDICTA AVE, TRINIDAD, CO 81082-2005",37.173016,-104.48851,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-104.942513,39.73912,3098,0104MU,NATIONAL JEWISH HEALTH,011,Hospital,Hospital,Short Term Hospital,HOSP-ACU,46,303-388-4461,DENVER,"1400 JACKSON ST, DENVER, CO 80206-2761",39.73912,-104.942513,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-104.984772,39.864292,3154,010441,NORTH SUBURBAN MEDICAL CENTER,011,Hospital,Hospital,Short Term Hospital,HOSP-ACU,157,303-451-7800,ADAMS,"9191 GRANT ST, THORNTON, CO 80229-4361",39.864292,-104.984772,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-104.97139,40.405491,3162,01P638,NORTHERN COLORADO LONG TERM ACUTE HOSPITAL,015,Hospital,Hospital,Long Term Hospital,HOSP-LT,20,970-619-3400,LARIMER,"4401A UNION ST, JOHNSTOWN, CO 80534",40.405491,-104.97139,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-104.97139,40.405491,3163,01V196,"NORTHERN COLORADO REHABILITATION HOSPITAL, INC.",013,Hospital,Hospital,Rehabilitation Hospital,HOSP-RHB,40,970-619-3400,LARIMER,"4401 UNION ST, JOHNSTOWN, CO 80534-2800",40.405491,-104.97139,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-105.128113,39.717899,3265,01U246,ORTHOCOLORADO HOSP AT ST ANTHONY MEDICAL CAMPUS,011,Hospital,Hospital,Short Term Hospital,HOSP-ACU,48,720-321-5000,JEFFERSON,"11650 W 2ND PL, LAKEWOOD, CO 80228",39.717899,-105.128113,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-107.077293,37.252815,3287,01Y763,PAGOSA SPRINGS MEDICAL CENTER,014,Hospital,Hospital,Critical Access Hospital,HOSP-CAH,11,970-731-3700,ARCHULETA,"95 S PAGOSA BLVD, PAGOSA SPRINGS, CO 81147",37.252815,-107.077293,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-104.791595,40.421371,3293,01L08S,PAM HEALTH REHABILITATION HOSPITAL OF GREELEY,013,Hospital,Hospital,Rehabilitation Hospital,HOSP-RHB,42,970-425-6770,WELD,"6810 10TH ST, GREELEY, CO 80634",40.421371,-104.791595,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-105.06842,39.888062,3294,01V6FO,PAM HEALTH REHABILITATION HOSPITAL OF WESTMINSTER,013,Hospital,Hospital,Rehabilitation Hospital,HOSP-RHB,36,720-653-3440,JEFFERSON,"6500 W 104TH AVE, WESTMINSTER, CO 80020-4189",39.888062,-105.06842,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-105.20578,39.727158,3295,010NIZ,PAM REHABILITATION HOSPITAL OF GOLDEN,013,Hospital,Hospital,Rehabilitation Hospital,HOSP-RHB,50,303-872-6457,JEFFERSON,"600 GOLDEN RIDGE RD., GOLDEN, CO 80401",39.727158,-105.20578,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-105.035728,39.744026,3296,010486,PAM SPECIALTY HOSPITAL OF DENVER,015,Hospital,Hospital,Long Term Hospital,HOSP-LT,63,303-264-6900,DENVER,"1690 N MEADE ST, DENVER, CO 80204",39.744026,-105.035728,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-104.612221,38.281624,3327,010626,"PARKVIEW MEDICAL CENTER, INC",011,Hospital,Hospital,Short Term Hospital,HOSP-ACU,350,719-584-4000,PUEBLO,"400 W 16TH ST, PUEBLO, CO 81003",38.281624,-104.612221,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-104.701035,38.327572,3328,01JR3E,PARKVIEW PUEBLO WEST,01B,Hospital,Hospital,Licensed Only General Hospital,LICGEN,29,719-584-4000,PUEBLO,"899 E INDUSTRIAL BLVD, PUEBLO, CO 81007",38.327572,-104.701035,yes,PENDING (CLOSING OR OPENING),2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-104.713837,38.937225,3367,01O618,PEAK VIEW BEHAVIORAL HEALTH,012,Hospital,Hospital,Psychiatric Hospital,HOSP-PSY,144,719-444-8484,EL PASO,"7353 SISTERS GRV, COLORADO SPRINGS, CO 80923-2615",38.937225,-104.713837,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-104.82019,38.865639,3405,010543,PENROSE HOSPITAL,011,Hospital,Hospital,Short Term Hospital,HOSP-ACU,300,719-776-5000,EL PASO,"2222 N NEVADA AVE, COLORADO SPRINGS, CO 80907-6819",38.865639,-104.82019,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-107.88253,40.045807,3456,010850,PIONEERS MEDICAL CENTER,014,Hospital,Hospital,Critical Access Hospital,HOSP-CAH,16,970-878-5047,RIO BLANCO,"100 PIONEERS MEDICAL CENTER DR, MEEKER, CO 81641",40.045807,-107.88253,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-105.057785,40.573654,3487,010305,POUDRE VALLEY HOSPITAL,011,Hospital,Hospital,Short Term Hospital,HOSP-ACU,255,970-495-7000,LARIMER,"1024 S LEMAY AVE, FORT COLLINS, CO 80524",40.573654,-105.057785,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-104.966728,39.746143,3508,TC0004,PRESBYTERIAN ST LUKE'S MEDICAL CENTER,01T,Hospital,Hospital,Transplant Hospital,TH,0,303-839-6100,DENVER,"1719 EAST 19TH AVENUE, DENVER, CO 80218",39.746143,-104.966728,no,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-104.966728,39.746143,3509,010431,PRESBYTERIAN/ST. LUKE'S MEDICAL CENTER,011,Hospital,Hospital,Short Term Hospital,HOSP-ACU,680,303-839-6000,DENVER,"1719 E 19TH AVE, DENVER, CO 80218-1281",39.746143,-104.966728,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-102.610268,38.069111,3560,010217,PROWERS MEDICAL CENTER,014,Hospital,Hospital,Critical Access Hospital,HOSP-CAH,25,719-336-4343,PROWERS,"401 KENDALLL DR, LAMAR, CO 81052",38.069111,-102.610268,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-108.805817,40.080227,3614,011132,RANGELY DISTRICT HOSPITAL,014,Hospital,Hospital,Critical Access Hospital,HOSP-CAH,25,970-675-5011,RIO BLANCO,"225 EAGLE CREST DR, RANGELY, CO 81648-3105",40.080227,-108.805817,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-104.882668,39.779007,3672,018DRG,REUNION REHABILITATION HOSPITAL DENVER,013,Hospital,Hospital,Rehabilitation Hospital,HOSP-RHB,40,720-734-3500,DENVER,"4650 CENTRAL PARK BLVD, DENVER, CO 80238-2328",39.779007,-104.882668,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-104.86396,39.559723,3673,01WYTJ,REUNION REHABILITATION HOSPITAL INVERNESS,013,Hospital,Hospital,Rehabilitation Hospital,HOSP-RHB,40,720-741-8800,DOUGLAS,"372 INVERNESS DR S, ENGLEWOOD, CO 80112-5899",39.559723,-104.86396,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-107.781563,39.649689,3680,1808M3,RIFLE CORRECTIONAL CENTER,S63,Community Clinic,Clinic,Community Clinic-DOC,CCDOC,0,970-625-7578,GARFIELD,"200 COUNTY ROAD 219, RIFLE, CO 81650-9530",39.649689,-107.781563,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-106.364685,37.674381,3691,251011,RIO GRANDE HOSPITAL,014,Hospital,Hospital,Critical Access Hospital,HOSP-CAH,17,719-657-2510,RIO GRANDE,"310 COUNTY ROAD 14, DEL NORTE, CO 81132-8758",37.674381,-106.364685,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-104.934517,39.731113,3726,18E167,ROCKY MOUNTAIN CARES,S65,Community Clinic,Clinic,Community Clinic-Voluntary,CCVOL,0,303-393-8050,DENVER,"4545 E 9TH AVE, SUITE 120, DENVER, CO 80220",39.731113,-104.934517,no,PENDING (CLOSING OR OPENING),2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-104.934334,39.731113,3746,010428,ROSE MEDICAL CENTER,011,Hospital,Hospital,Short Term Hospital,HOSP-ACU,422,303-320-2121,DENVER,"4567 E 9TH AVE, DENVER, CO 80220",39.731113,-104.934334,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-104.623413,38.278858,3804,1806TU,SAN CARLOS CORRECTIONAL FACILITY,S63,Community Clinic,Clinic,Community Clinic-DOC,CCDOC,0,719-583-5526,PUEBLO,"1410 W 13TH ST, PUEBLO, CO 81003",38.278858,-104.623413,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-105.883652,37.472424,3806,011001,SAN LUIS VALLEY HEALTH,011,Hospital,Hospital,Short Term Hospital,HOSP-ACU,49,719-587-1202,ALAMOSA,"106 BLANCA AVE, ALAMOSA, CO 81101-2340",37.472424,-105.883652,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-105.964188,37.26368,3808,011020,SAN LUIS VALLEY HEALTH CONEJOS COUNTY HOSPITAL,014,Hospital,Hospital,Critical Access Hospital,HOSP-CAH,17,719-274-5121,CONEJOS,"19021 US HIGHWAY 285, LA JARA, CO 81140",37.26368,-105.964188,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-102.268784,40.993336,3833,010170,SEDGWICK COUNTY MEMORIAL HOSPITAL,014,Hospital,Hospital,Critical Access Hospital,HOSP-CAH,15,970-474-3323,SEDGWICK,"900 CEDAR ST, JULESBURG, CO 80737-1121",40.993336,-102.268784,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-104.873085,39.528275,3926,01D972,SKY RIDGE MEDICAL CENTER,011,Hospital,Hospital,Short Term Hospital,HOSP-ACU,304,720-225-1000,DOUGLAS,"10101 RIDGEGATE PKWY, LONE TREE, CO 80124",39.528275,-104.873085,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-102.612457,37.404217,3992,010221,SOUTHEAST COLORADO HOSPITAL,014,Hospital,Hospital,Critical Access Hospital,HOSP-CAH,23,719-523-4501,BACA,"373 E 10TH AVE, SPRINGFIELD, CO 81073-1622",37.404217,-102.612457,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-108.572807,37.362072,4001,011206,SOUTHWEST MEMORIAL HOSPITAL,014,Hospital,Hospital,Critical Access Hospital,HOSP-CAH,20,970-565-6666,MONTEZUMA,"1311 N MILDRED RD, CORTEZ, CO 81321-2231",37.362072,-108.572807,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-104.828247,39.73045,4006,010433,SPALDING REHABILITATION HOSPITAL,013,Hospital,Hospital,Rehabilitation Hospital,HOSP-RHB,78,303-367-1166,ARAPAHOE,"900 POTOMAC ST, AURORA, CO 80011-6716",39.73045,-104.828247,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-104.966728,39.746143,4007,13L197,SPALDING REHABILITATION HOSPITAL AT PSLMC,S51,Hospital,Hospital,Hospital Unit,H-UNIT,22,303-839-6293,DENVER,"1719 E 19TH AVE STE 6B, DENVER, CO 80218-1235",39.746143,-104.966728,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-104.819809,37.607616,4011,010720,SPANISH PEAKS REGIONAL HEALTH CENTER,014,Hospital,Hospital,Critical Access Hospital,HOSP-CAH,20,719-738-5100,HUERFANO,"23500 US HIGHWAY 160, WALSENBURG, CO 81089-9524",37.607616,-104.819809,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-105.127586,39.717899,4049,010429,ST ANTHONY HOSPITAL,011,Hospital,Hospital,Short Term Hospital,HOSP-ACU,237,720-321-0000,JEFFERSON,"11600 W 2ND PL, LAKEWOOD, CO 80228-1527",39.717899,-105.127586,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-104.71582,38.940205,4053,01H523,ST FRANCIS HOSPITAL,01B,Hospital,Hospital,Licensed Only General Hospital,LICGEN,317,719-571-1000,EL PASO,"6001 E WOODMEN RD, COLORADO SPRINGS, CO 80923",38.940205,-104.71582,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-104.993629,39.955811,4059,010402,ST. ANTHONY NORTH HOSPITAL,011,Hospital,Hospital,Short Term Hospital,HOSP-ACU,151,720-627-0000,ADAMS,"14300 ORCHARD PKWY, WESTMINSTER, CO 80023-9206",39.955811,-104.993629,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-106.078156,39.569981,4060,01I155,ST. ANTHONY SUMMIT HOSPITAL,011,Hospital,Hospital,Short Term Hospital,HOSP-ACU,35,970-668-3300,SUMMIT,"340 PEAK ONE DR, FRISCO, CO 80443",39.569981,-106.078156,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-103.796135,40.259415,4061,010130,ST. ELIZABETH HOSPITAL,011,Hospital,Hospital,Short Term Hospital,HOSP-ACU,50,970-867-3391,MORGAN,"1000 LINCOLN ST, FORT MORGAN, CO 80701-3290",40.259415,-103.796135,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-104.807915,38.987961,4062,01VH9Q,ST. FRANCIS HOSPITAL - INTERQUEST,011,Hospital,Hospital,Short Term Hospital,HOSP-ACU,72,719-757-7000,EL PASO,"10860 NEW ALLEGIANCE DR, COLORADO SPRINGS, CO 80921",38.987961,-104.807915,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-104.622871,38.233265,4063,010650,ST. MARY-CORWIN HOSPITAL,011,Hospital,Hospital,Short Term Hospital,HOSP-ACU,408,719-557-4000,PUEBLO,"1008 MINNEQUA AVE, PUEBLO, CO 81004-3733",38.233265,-104.622871,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-108.561501,39.090565,4064,011160,ST. MARY'S REGIONAL HOSPITAL,011,Hospital,Hospital,Short Term Hospital,HOSP-ACU,346,970-298-2260,MESA,"2635 N 7TH ST, GRAND JUNCTION, CO 81501-8209",39.090565,-108.561501,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-105.230057,38.455692,4065,010623,ST. THOMAS MORE HOSPITAL,014,Hospital,Hospital,Critical Access Hospital,HOSP-CAH,25,719-285-2000,FREMONT,"1338 PHAY AVE, CANON CITY, CO 81212-2311",38.455692,-105.230057,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-106.301834,39.244766,4066,010908,ST. VINCENT GENERAL HOSPITAL DISTRICT,014,Hospital,Hospital,Critical Access Hospital,HOSP-CAH,8,719-486-0230,LAKE,"816 W 4TH ST, LEADVILLE, CO 80461-3861",39.244766,-106.301834,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-103.156021,40.613335,4094,1801OX,STERLING CORRECTIONAL FACILITY,S63,Community Clinic,Clinic,Community Clinic-DOC,CCDOC,0,970-521-8807,LOGAN,"12101 HWY 61, STERLING, CO 80751",40.613335,-103.156021,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-103.220482,40.613632,4097,010140,STERLING REGIONAL MEDCENTER,011,Hospital,Hospital,Short Term Hospital,HOSP-ACU,25,970-522-0122,LOGAN,"615 FAIRHURST ST, STERLING, CO 80751",40.613632,-103.220482,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-104.981613,39.653191,4198,010436,SWEDISH MEDICAL CENTER,011,Hospital,Hospital,Short Term Hospital,HOSP-ACU,504,303-788-5000,ARAPAHOE,"501 E HAMPDEN AVE, ENGLEWOOD, CO 80113-2702",39.653191,-104.981613,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-107.81604,37.937557,4237,181218,TELLURIDE REGIONAL MEDICAL CENTER,S62,Community Clinic,Clinic,Community Clinic & Emergency Center,CCEC,0,970-728-3848,SAN MIGUEL,"500 WEST PACIFIC AVE, TELLURIDE, CO 81435",37.937557,-107.81604,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-105.249446,38.437281,4263,180601,TERRITORIAL CORRECTIONAL FACILITY DISPENSARY,S63,Community Clinic,Clinic,Community Clinic-DOC,CCDOC,2,719-269-4250,FREMONT,"275 W US HIGHWAY 50, CANON CITY, CO 81212-6700",38.437281,-105.249446,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-104.282951,37.311649,4337,18U707,TRINIDAD CORRECTIONAL FACILITY,S63,Community Clinic,Clinic,Community Clinic-DOC,CCDOC,0,719-845-3241,LAS ANIMAS,"21000 US HWY 350, MODEL, CO 81059",37.311649,-104.282951,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-104.861318,38.998309,4371,COBGLF,U S AIR FORCE ACADEMY HOSPITAL,019,Hospital,Hospital,Non-Participating Hospital - Obsolete,HOSP-NP,0,832-476-8316,EL PASO,"US AIR FORCE ACADEMY, COLORADO SPRINGS, CO 80912",38.998309,-104.861318,no,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-104.73531,38.668181,4372,COH5OF,U S ARMY HOSPITAL,019,Hospital,Hospital,Non-Participating Hospital - Obsolete,HOSP-NP,0,719-000-0000,EL PASO,"FORT CARSON ARMY BASE, FORT CARSON, CO 80913",38.668181,-104.73531,no,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-105.093018,39.909222,4375,01Q177,UCHEALTH BROOMFIELD HOSPITAL,011,Hospital,Hospital,Short Term Hospital,HOSP-ACU,40,303-464-4500,BROOMFIELD,"11820 DESTINATION DR, BROOMFIELD, CO 80021-2518",39.909222,-105.093018,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-104.81694,38.910378,4387,01V343,UCHEALTH GRANDVIEW HOSPITAL,011,Hospital,Hospital,Short Term Hospital,HOSP-ACU,22,719-365-3300,EL PASO,"5623 PULPIT PEAK VIEW, COLORADO SPRINGS, CO 80918",38.910378,-104.81694,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-104.789078,40.390087,4388,01F112,UCHEALTH GREELEY HOSPITAL,011,Hospital,Hospital,Short Term Hospital,HOSP-ACU,88,970-652-2000,WELD,"6767 W 29TH ST, GREELEY, CO 80634",40.390087,-104.789078,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
